region,text,
1,alabama,20
2,arizona,50
3,arkansas,16
4,california,215
5,colorado,36
6,connecticut,20
7,delaware,6
8,district of columbia,50
9,florida,80
10,georgia,74
11,idaho,14
12,illinois,90
13,indiana,29
14,iowa,10
15,kansas,161
16,kentucky,23
17,louisiana,22
18,maine,10
19,maryland,32
20,massachusetts,42
21,michigan,49
22,minnesota,34
23,mississippi,13
24,missouri,42
25,montana,3
26,nebraska,10
27,nevada,35
28,new hampshire,6
29,new jersey,36
30,new mexico,24
31,new york,98
32,north carolina,50
33,north dakota,3
34,ohio,42
35,oklahoma,40
36,oregon,40
37,pennsylvania,85
38,rhode island,7
39,south carolina,16
40,tennessee,37
41,texas,163
42,The Carolina West,1
43,utah,23
44,vermont,2
45,virginia,47
46,washington,38
47,west virginia,10
48,wisconsin,35
49,wyoming,8
