"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","tweetLocation","lon","lat","region"
"6","Dad is in the hospital right now trying to get rid of the flu. He’s doing alright but I’m glad… https://t.co/5Qb4JZPuUx",FALSE,0,NA,2018-03-02 17:57:45,FALSE,NA,"969632870162681856",NA,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","pamnfam94",0,FALSE,FALSE,NA,NA,"flu","Gilbert, AZ",-111.789027,33.3528264,"arizona"
"7","RT @HelenBranswell: It's common to see flu B activity surge towards the end of the flu season, after the flu A viruses do their thing. Righ…",FALSE,0,NA,2018-03-02 17:57:41,FALSE,NA,"969632853255475200",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","FunInMia",2,TRUE,FALSE,NA,NA,"flu","Miami Beach, Florida",-80.1300455,25.790654,NA
"8","RT @sblackmoore: Virgo: Today when you scream into the void, the void will politely ask that you keep it down, as it isn't feeling well and…",FALSE,0,NA,2018-03-02 17:57:38,FALSE,NA,"969632838776627200",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vixy",24,TRUE,FALSE,NA,NA,"flu","Seattle, WA",-122.3320708,47.6062095,NA
"10","RT @TipsForYouDaily: Pineapple juice is 5 times more effective than cough syrup. It also prevents colds and the flu.",FALSE,0,NA,2018-03-02 17:57:33,FALSE,NA,"969632817759039488",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jules4u1990",59,TRUE,FALSE,NA,NA,"flu","rva - 804",-77.4583057,37.5552078,"virginia"
"11","The flu is really really really no joke honestly",FALSE,0,NA,2018-03-02 17:57:31,FALSE,NA,"969632811421487111",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","brie_tayylor",0,FALSE,FALSE,NA,NA,"flu","on a beach somewhere ",-80.1172881,26.0192874,NA
"18","All Children Should Have to Get the Flu Shot https://t.co/sCc55E55Mn #bioethics",FALSE,0,NA,2018-03-02 17:57:06,FALSE,NA,"969632703258783745",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","aregenberg",1,FALSE,FALSE,NA,NA,"flu","Baltimore, MD",-76.6121893,39.2903848,"maryland"
"33","Flu season is NOT over! Stay healthy over the weekend and follow these tips: https://t.co/CwiFSLhL8G #FridayFeeling",FALSE,0,NA,2018-03-02 17:55:48,FALSE,NA,"969632377952788480",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MGMBenGroup",0,FALSE,FALSE,NA,NA,"flu","Richardson, TX",-96.7298519,32.9483335,"texas"
"44","@HoarseWisperer I was the only one in my family that so far, has not had the flu. I just took care of them all and… https://t.co/p9zTN4YNh5",FALSE,0,"HoarseWisperer",2018-03-02 17:55:15,TRUE,"969610215598456832","969632239809069058","784575415457308672","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","JusDucky27",0,FALSE,FALSE,NA,NA,"flu","USA",-95.712891,37.09024,"kansas"
"50","@kenzie_clemons Nahhh. It isn’t the stomach flu. I’m 99% sure it’s the freaking flu",FALSE,0,"kenzie_clemons",2018-03-02 17:54:59,FALSE,"969280974394744838","969632170896773122","743163367465029634","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ClistyMay12",0,FALSE,FALSE,NA,NA,"flu","United States",-95.712891,37.09024,"kansas"
"51","RT @CDCFlu: Flu activity is down significantly for the second consecutive week, but activity will likely continue for several more weeks. M…",FALSE,0,NA,2018-03-02 17:54:57,FALSE,NA,"969632165511098369",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Sherry_Reson",10,TRUE,FALSE,NA,NA,"flu","San Francisco, CA",-122.4194155,37.7749295,"california"
